num_of_process,activation,batch_size,train_rmse,test_rmse,avg_time_sec
3,relu,16,0.9996,1.0003,1.65
3,relu,32,0.9996,1.0003,1.84
3,relu,64,0.9996,1.0003,1.64
3,relu,128,0.9996,1.0003,2.29
3,relu,256,0.9996,1.0003,2.57
3,tanh,16,0.9992,0.9999,1.62
3,tanh,32,0.9993,1.0,1.83
3,tanh,64,0.9993,1.0,1.79
3,tanh,128,0.9992,0.9999,2.47
3,tanh,256,0.9993,1.0,2.87
3,sigmoid,16,0.9998,1.0005,1.78
3,sigmoid,32,0.9999,1.0006,1.89
3,sigmoid,64,0.9997,1.0004,1.79
3,sigmoid,128,0.9998,1.0005,2.5
3,sigmoid,256,0.9997,1.0004,2.81
