num_of_process,activation,sample_fraction,batch_size,learning_rate,hidden_dim,epoch,loss
4,relu,0.1,1024,0.001,32,1,0.9658218563081495
4,relu,0.1,1024,0.001,32,0,0.9950550058804731
4,relu,0.1,1024,0.001,32,2,0.7955177831318744
4,relu,0.1,1024,0.001,32,3,0.3834211965494808
4,relu,0.1,1024,0.001,32,4,0.15666482927975217
4,relu,0.1,1024,0.001,32,5,0.10977929898656845
4,relu,0.1,1024,0.001,32,6,0.09719195265955312
4,relu,0.1,1024,0.001,32,7,0.09140807572699902
4,relu,0.1,1024,0.001,32,8,0.08716932608417277
4,relu,0.1,1024,0.001,32,9,0.08300490815098578
4,relu,0.1,1024,0.001,32,10,0.07913657421604567
4,relu,0.1,1024,0.001,32,11,0.07608180643753668
4,relu,0.1,1024,0.001,32,12,0.07343130162027896
4,relu,0.1,1024,0.001,32,13,0.0708112282307874
4,relu,0.1,1024,0.001,32,14,0.0689696049310622
4,relu,0.1,1024,0.001,32,15,0.06713141616557407
4,relu,0.1,1024,0.001,32,16,0.06571946446639948
4,relu,0.1,1024,0.001,32,17,0.06433177104617259
4,relu,0.1,1024,0.001,32,18,0.06333271817229465
4,relu,0.1,1024,0.001,32,19,0.06243480709351963
4,relu,0.1,1024,0.001,32,20,0.061801744939510996
4,relu,0.1,1024,0.001,32,21,0.061392078633404276
3,relu,0.1,1024,0.001,32,0,0.9942063557480089
3,relu,0.1,1024,0.001,32,1,0.9647892236929531
3,relu,0.1,1024,0.001,32,2,0.7976186844135834
3,relu,0.1,1024,0.001,32,3,0.38287639016652797
3,relu,0.1,1024,0.001,32,4,0.1559713492200967
3,relu,0.1,1024,0.001,32,5,0.11031542989963912
3,relu,0.1,1024,0.001,32,6,0.0975968187614402
3,relu,0.1,1024,0.001,32,7,0.09120202246478508
3,relu,0.1,1024,0.001,32,8,0.08712357562240636
3,relu,0.1,1024,0.001,32,9,0.08247037184480145
3,relu,0.1,1024,0.001,32,10,0.07928011831341417
3,relu,0.1,1024,0.001,32,11,0.07604545017935636
3,relu,0.1,1024,0.001,32,12,0.07285737854965109
3,relu,0.1,1024,0.001,32,13,0.07071223824956623
3,relu,0.1,1024,0.001,32,14,0.06843017496565228
3,relu,0.1,1024,0.001,32,15,0.06743721288413629
3,relu,0.1,1024,0.001,32,16,0.06542128300169249
3,relu,0.1,1024,0.001,32,17,0.0644453841163784
3,relu,0.1,1024,0.001,32,18,0.06299431966523354
3,relu,0.1,1024,0.001,32,19,0.06260919091407859
3,relu,0.1,1024,0.001,32,20,0.06204944999215221
3,relu,0.1,1024,0.001,32,21,0.06125650453589832
3,relu,0.1,1024,0.001,32,0,0.998182798320768
3,relu,0.1,1024,0.001,32,1,0.9993428925747567
3,relu,0.1,1024,0.001,32,2,0.9980604116324155
3,relu,0.1,1024,0.001,32,3,1.0007383632414522
3,relu,0.1,1024,0.001,32,4,0.9977933026100212
3,relu,0.1,1024,0.001,32,5,1.0000235092712693
3,relu,0.1,1024,0.001,64,0,0.9977265677766832
3,relu,0.1,1024,0.001,64,1,0.9959209401248001
3,relu,0.1,1024,0.001,64,2,0.9890411877966566
3,relu,0.1,1024,0.001,64,3,0.9950170179264591
3,relu,0.1,1024,0.001,64,4,0.9950150673760677
3,relu,0.1,1024,0.001,64,5,0.9963961154024857
3,relu,0.1,1024,0.001,64,6,0.9954023836381382
3,relu,0.1,1024,0.001,64,7,0.9899250361458657
3,relu,0.1,1024,0.001,128,0,0.9900691302572467
3,relu,0.1,1024,0.001,128,1,0.9903594369170415
3,relu,0.1,1024,0.001,128,2,0.984553676066709
3,relu,0.1,1024,0.001,128,3,0.9893866517063361
3,relu,0.1,1024,0.001,128,4,0.9923181504692332
3,relu,0.1,1024,0.001,128,5,0.983602794548585
3,relu,0.1,1024,0.001,128,6,0.990908677732376
3,relu,0.1,1024,0.001,128,7,0.9897970391657166
3,relu,0.1,1024,0.01,32,0,0.45122687159302055
3,relu,0.1,1024,0.01,32,1,0.4805599658037461
3,relu,0.1,1024,0.01,32,2,0.43489713211052394
3,relu,0.1,1024,0.01,32,3,0.4956813971509572
3,relu,0.1,1024,0.01,32,4,0.43805015709170303
3,relu,0.1,1024,0.01,32,5,0.4766264169824274
3,relu,0.1,1024,0.01,32,6,0.4726291097696517
3,relu,0.1,1024,0.01,32,7,0.43817983960938706
3,relu,0.1,1024,0.01,64,0,0.424322002822608
3,relu,0.1,1024,0.01,64,1,0.40191706967042223
3,relu,0.1,1024,0.01,64,2,0.3710887541153152
3,relu,0.1,1024,0.01,64,3,0.4001498942175921
3,relu,0.1,1024,0.01,64,4,0.40106799365762374
3,relu,0.1,1024,0.01,64,5,0.41350810348579486
3,relu,0.1,1024,0.01,64,6,0.410523502355175
3,relu,0.1,1024,0.01,64,7,0.3753156998229327
3,relu,0.1,1024,0.01,128,0,0.37091802543850844
3,relu,0.1,1024,0.01,128,1,0.36841985390703685
3,relu,0.1,1024,0.01,128,2,0.35152976419804677
3,relu,0.1,1024,0.01,128,3,0.3651552121174218
3,relu,0.1,1024,0.01,128,4,0.37916388240714
3,relu,0.1,1024,0.01,128,5,0.3480713171762629
3,relu,0.1,1024,0.01,128,6,0.37271952664971897
3,relu,0.1,1024,0.01,128,7,0.36736495343991393
3,relu,0.1,1024,0.1,32,0,0.1018907171585781
3,relu,0.1,1024,0.1,32,1,0.10467024263482516
3,relu,0.1,1024,0.1,32,2,0.10034479907763671
3,relu,0.1,1024,0.1,32,3,0.10615115799882154
3,relu,0.1,1024,0.1,32,4,0.10045065814073506
3,relu,0.1,1024,0.1,32,5,0.10475669531400737
3,relu,0.1,1024,0.1,64,0,0.09843916151414833
3,relu,0.1,1024,0.1,64,1,0.09613811776431264
3,relu,0.1,1024,0.1,64,2,0.09333563627798647
3,relu,0.1,1024,0.1,64,3,0.09598997905416913
3,relu,0.1,1024,0.1,64,4,0.09656250265359079
3,relu,0.1,1024,0.1,64,5,0.09726059394188852
3,relu,0.1,1024,0.1,64,6,0.09714786160612353
3,relu,0.1,1024,0.1,64,7,0.09349795586438363
3,relu,0.1,1024,0.1,128,0,0.0925060247790732
3,relu,0.1,1024,0.1,128,1,0.09223466974041294
3,relu,0.1,1024,0.1,128,2,0.09105134796994761
3,relu,0.1,1024,0.1,128,3,0.09175747136202685
3,relu,0.1,1024,0.1,128,4,0.09358670848973129
3,relu,0.1,1024,0.1,128,5,0.0902263225220598
3,relu,0.3,1024,0.001,32,0,0.7841733928379964
3,relu,0.3,1024,0.001,32,1,0.7798897355329375
3,relu,0.3,1024,0.001,32,2,0.7599385159539264
3,relu,0.3,1024,0.001,32,3,0.7592722935581401
3,relu,0.3,1024,0.001,32,4,0.729218362065401
3,relu,0.3,1024,0.001,32,5,0.8145858445091777
3,relu,0.3,1024,0.001,32,6,0.7718945271008146
3,relu,0.3,1024,0.001,32,7,0.7458819202753867
3,relu,0.3,1024,0.001,32,8,0.7485117905248613
3,relu,0.3,1024,0.001,32,9,0.752547459991909
3,relu,0.3,1024,0.001,64,0,0.7373918663776552
3,relu,0.3,1024,0.001,64,1,0.7012576377265303
3,relu,0.3,1024,0.001,64,2,0.6564162762319626
3,relu,0.3,1024,0.001,64,3,0.6633587770120254
3,relu,0.3,1024,0.001,64,4,0.680373009879454
3,relu,0.3,1024,0.001,64,5,0.6940978845920043
3,relu,0.3,1024,0.001,64,6,0.6848920792048548
3,relu,0.3,1024,0.001,64,7,0.7037271845863837
3,relu,0.3,1024,0.001,32,0,0.9663616243140148
3,relu,0.3,1024,0.001,32,1,0.9921337315708948
3,relu,0.3,1024,0.001,32,2,0.9576740122299366
3,relu,0.3,1024,0.001,32,3,0.9446972120347118
3,relu,0.3,1024,0.001,32,4,0.9555185504134499
3,relu,0.3,1024,0.001,32,5,0.9765631134949216
3,relu,0.3,1024,0.001,32,6,0.9798698253343053
3,relu,0.3,1024,0.001,32,7,0.9537118470270434
3,relu,0.3,1024,0.001,32,8,0.9641604908558098
3,relu,0.3,1024,0.001,64,0,0.9484098195758491
3,relu,0.3,1024,0.001,64,1,0.934605434393065
3,relu,0.3,1024,0.001,64,2,0.926356714005514
3,relu,0.3,1024,0.001,64,3,0.9201021059985067
3,relu,0.3,1024,0.001,64,4,0.9265661637967483
3,relu,0.3,1024,0.001,64,5,0.9307901646101818
3,relu,0.3,1024,0.001,64,6,0.9320739939917874
3,relu,0.3,1024,0.001,64,7,0.9139953332843235
3,relu,0.3,1024,0.001,64,8,0.9462938021181828
3,relu,0.3,1024,0.001,64,9,0.9640684480899272
3,relu,0.3,1024,0.001,64,10,0.9410694177606431
3,relu,0.3,1024,0.001,64,11,0.9431821270448127
3,relu,0.3,1024,0.001,64,12,0.9413673804821752
3,relu,0.3,1024,0.001,128,0,0.8835519132819476
