num_of_process,activation,sample_fraction,batch_size,learning_rate,hidden_dim,train_rmse,test_rmse,training_time_sec
3,relu,0.1,1024,0.001,32,2.996,2.9917,8.86
3,relu,0.1,1024,0.001,64,2.9628,2.9585,11.74
3,relu,0.1,1024,0.001,128,2.958,2.9537,146.63
3,relu,0.1,1024,0.01,32,0.9034,0.8992,7.83
3,relu,0.1,1024,0.01,64,0.89,0.8857,10.35
3,relu,0.1,1024,0.01,128,0.8835,0.8792,140.86
3,relu,0.1,1024,0.1,32,0.7085,0.7041,5.92
3,relu,0.1,1024,0.1,64,0.7074,0.7029,10.68
3,relu,0.1,1024,0.1,128,0.7057,0.7012,108.683
3,relu,0.3,1024,0.001,32,2.7259,2.7228,29.96
3,relu,0.3,1024,0.001,64,2.5722,2.5693,52.08
3,relu,0.3,1024,0.001,128,2.2084,2.2061,480.46
3,relu,0.3,1024,0.01,32,0.7375,0.7376,29.45
3,relu,0.3,1024,0.01,64,0.7334,0.7337,32.01
3,relu,0.3,1024,0.01,128,0.7322,0.7325,469.01
3,relu,0.3,1024,0.1,32,0.6622,0.6627,19.61
3,relu,0.3,1024,0.1,64,0.661,0.6615,24.02
3,relu,0.3,1024,0.1,128,0.6629,0.6634,293.21
